H,B
0.659158881,-0.096484409
7.949118424,-0.086646566
14.06870918,-0.073923901
17.0411788,-0.063985464
18.95803811,-0.056734354
21.02701551,-0.046612746
22.53831636,-0.036567906
24.03891711,-0.025622714
25.48743232,-0.011396978
25.95139996,-0.004956139
26.78121234,0.00518128
27.6755384,0.017367851
28.12601352,0.02544771
28.54644194,0.033591646
29.30399572,0.048409906
29.79387152,0.056651101
30.18727106,0.063232596
30.97586705,0.076307199
31.40472282,0.084682105
32.23360856,0.099564271
32.73521128,0.1090799
33.0968298,0.116668156
33.40171084,0.123424133
34.20406232,0.140540421
34.71421761,0.151404394
35.0325724,0.158484725
35.39509252,0.167127562
35.70023652,0.175623425
36.11044693,0.185074493
36.49919452,0.19384079
37.22617567,0.212123605
37.76578913,0.226481161
38.11230604,0.236573216
38.74703086,0.253175248
39.17713258,0.266762799
39.5939296,0.278493525
39.99134245,0.289558485
40.31890096,0.299202619
40.6782843,0.310110625
41.08789365,0.321994401
41.42978992,0.331923403
41.75981527,0.341511173
42.10899938,0.351506611
42.50068966,0.362489802
42.87285177,0.378071042
43.46090684,0.388407052
44.02009855,0.40577543
44.43963164,0.418442613
44.73254785,0.425837517
45.0887631,0.435803577
45.41312222,0.445654851
45.79925895,0.455747829
46.17410078,0.465821741
46.50431397,0.475320045
46.88674417,0.48548784
47.2939305,0.496023347
47.61126474,0.504607909
47.9556529,0.513546771
48.73462568,0.532270176
49.19878742,0.544330907
49.61241009,0.553749276
50.38137148,0.571900636
50.83001837,0.582960912
51.23702314,0.591930517
51.61070667,0.600598927
51.95918329,0.608439878
52.35455505,0.61662715
52.65601131,0.623574683
53.47244385,0.639758703
53.96374091,0.650129414
54.28146959,0.657134684
54.66601602,0.664053485
55.46971362,0.67969311
55.97650048,0.689316855
56.38654811,0.696670812
57.12196913,0.710014896
57.62894382,0.719156967
57.93445096,0.725080793
58.75721341,0.738313821
59.25308103,0.746925374
59.63530462,0.753534056
60.41943649,0.765380649
60.9313073,0.774010403
61.71818777,0.785817321
62.63561078,0.799674333
63.1251798,0.807127389
63.5400672,0.815784673
64.67791617,0.828076409
65.11104197,0.834562712
65.96465879,0.845562844
66.87982784,0.857956444
67.36314208,0.86427319
68.19121388,0.874835334
69.10325241,0.885999288
70.05980063,0.89723819
70.53611504,0.903228555
